name,info
alienvault_reputation,AlienVault.com IP reputation database
asprox_c2,h3x.eu ASPROX Tracker - Asprox C&C Sites
bambenek_banjori,Bambenek Consulting feed of current IPs of banjori C&Cs with 90 minute lookback
bambenek_bebloh,Bambenek Consulting feed of current IPs of bebloh C&Cs with 90 minute lookback
bambenek_c2,"Bambenek Consulting master feed of known, active and non-sinkholed C&Cs IP addresses"
bambenek_cl,Bambenek Consulting feed of current IPs of cl C&Cs with 90 minute lookback
bambenek_cryptowall,Bambenek Consulting feed of current IPs of cryptowall C&Cs with 90 minute lookback
bambenek_dircrypt,Bambenek Consulting feed of current IPs of dircrypt C&Cs with 90 minute lookback
bambenek_dyre,Bambenek Consulting feed of current IPs of dyre C&Cs with 90 minute lookback
bambenek_geodo,Bambenek Consulting feed of current IPs of geodo C&Cs with 90 minute lookback
bambenek_hesperbot,Bambenek Consulting feed of current IPs of hesperbot C&Cs with 90 minute lookback
bambenek_matsnu,Bambenek Consulting feed of current IPs of matsnu C&Cs with 90 minute lookback
bambenek_necurs,Bambenek Consulting feed of current IPs of necurs C&Cs with 90 minute lookback
bambenek_p2pgoz,Bambenek Consulting feed of current IPs of p2pgoz C&Cs with 90 minute lookback
bambenek_pushdo,Bambenek Consulting feed of current IPs of pushdo C&Cs with 90 minute lookback
bambenek_pykspa,Bambenek Consulting feed of current IPs of pykspa C&Cs with 90 minute lookback
bambenek_qakbot,Bambenek Consulting feed of current IPs of qakbot C&Cs with 90 minute lookback
bambenek_ramnit,Bambenek Consulting feed of current IPs of ramnit C&Cs with 90 minute lookback
bambenek_ranbyus,Bambenek Consulting feed of current IPs of ranbyus C&Cs with 90 minute lookback
bambenek_simda,Bambenek Consulting feed of current IPs of simda C&Cs with 90 minute lookback
bambenek_suppobox,Bambenek Consulting feed of current IPs of suppobox C&Cs with 90 minute lookback
bambenek_symmi,Bambenek Consulting feed of current IPs of symmi C&Cs with 90 minute lookback
