"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"03/04/2021 11:57:54","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","107","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 29914, Destination: 192.168.0.21, 161, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:57:54","12","Log","E-mail","E-mail Check Error on Load","Simple","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Problem sending log E-mail; check log settings",""
"03/04/2021 11:57:56","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve webcfs05.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 11:58:05","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","1378","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 2197, Destination: 172.217.1.130, 443, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:05","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve webcfs08.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 11:58:06","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","62","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 64707, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:07","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 49158, Destination: 96.7.169.174, 443, Protocol: 6-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:08","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","1378","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 10960, Destination: 172.217.1.230, 443, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:09","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 1898, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:10","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 53881, Destination: 34.213.114.172, 443, Protocol: 6-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:12","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:BE:D9:58:BF:45","DELL","X3","WLAN","01:00:5E:7F:FF:FA","Unknown","","","10.10.20.103","62680","","","","","239.255.255.250","1900","","","","","udp","","","201","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 11:58:12","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve forcesafesearch.google.com","Failed to resolve name",""
"03/04/2021 11:58:13","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:BE:D9:58:BF:45","DELL","X3","WLAN","01:00:5E:7F:FF:FA","Unknown","","","10.10.20.103","62680","","","","","239.255.255.250","1900","","","","","udp","","","201","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 11:58:14","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:BE:D9:58:BF:45","DELL","X3","WLAN","01:00:5E:7F:FF:FA","Unknown","","","10.10.20.103","62680","","","","","239.255.255.250","1900","","","","","udp","","","201","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 11:58:14","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","202.142.113.63","8698","","","","","","","","","","","","","","","","","","tech","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 11:58:15","662","Wireless","SonicPoint","Non SonicPoint Traffic Drop","Standard","Error","2048","D4:BE:D9:58:BF:45","DELL","X3","WLAN","01:00:5E:7F:FF:FA","Unknown","","","10.10.20.103","62680","","","","","239.255.255.250","1900","","","","","udp","","","201","","","","","","","","","","","","","","","drop","","","Drop WLAN traffic from non-SonicPoint devices",""
"03/04/2021 11:58:15","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 62255, Destination: 172.16.250.228, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 11:58:15","403","VPN","VPN IKE","Negotiation Aborted","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE negotiation aborted due to Timeout",""
